Site: Coral_d18O 	: Aus_03	: slope    : -0.219467998826	: intercept: -4.90769350504	: correl.  : -0.547046311685	: p_value  : 4.35730744547e-10	: var(proxy)/var(resid): 1.42706214141	: SNR  : 0.653499916917
Site: Coral_d18O	: Aus_16	: slope    : -0.097459997326	: intercept: -4.34532721108	: correl.  : -0.229690105611	: p_value  : 0.00513265103676	: var(proxy)/var(resid): 1.05569592486	: SNR  : 0.235999840796
Site: Coral_d18O 	: Aus_12	: slope    : -0.159698124463	: intercept: -4.65975359218	: correl.  : -0.353916950028	: p_value  : 7.71287955567e-06	: var(proxy)/var(resid): 1.14319318615	: SNR  : 0.378408755382
Site: Coral_d18O 	: Aus_14	: slope    : -0.216620971993	: intercept: -4.23680851892	: correl.  : -0.478577214499	: p_value  : 1.7012794002e-09	: var(proxy)/var(resid): 1.29707767791	: SNR  : 0.545048326212
Site: Coral_d18O 	: Aus_21	: slope    : -0.122508591126	: intercept: -3.89361193726	: correl.  : -0.384781842821	: p_value  : 1.91890954751e-06	: var(proxy)/var(resid): 1.17378753993	: SNR  : 0.416878327492
Site: Coral_d18O 	: Aus_22	: slope    : -0.190196892126	: intercept: 0.0407382393755	: correl.  : -0.365321809737	: p_value  : 3.69595003729e-06	: var(proxy)/var(resid): 1.1540148504	: SNR  : 0.392447258117
Site: Coral_d18O 	: Aus_23	: slope    : -0.192354300964	: intercept: -5.19302877374	: correl.  : -0.253908781323	: p_value  : 0.00397074510924	: var(proxy)/var(resid): 1.06891243086	: SNR  : 0.262511772795
Site: Coral_d18O 	: Aus_24	: slope    : -0.107267243501	: intercept: -4.27160909406	: correl.  : -0.263903192453	: p_value  : 0.00282741291831	: var(proxy)/var(resid): 1.07485840042	: SNR  : 0.27360263234
Site: Coral_d18O 	: Aus_27	: slope    : -0.257213599906	: intercept: -4.90102840107	: correl.  : -0.417874712805	: p_value  : 6.15228532077e-06	: var(proxy)/var(resid): 1.21156209545	: SNR  : 0.459958797562
Site: Coral_d18O 	: Aus_28	: slope    : -0.128133068099	: intercept: -4.43549053674	: correl.  : -0.294133201131	: p_value  : 0.0014194933148	: var(proxy)/var(resid): 1.09470793445	: SNR  : 0.307746542548
Site: Ice core_d18O 	: Ant_01	: slope    : 3.72427594713	: intercept: -287.685745849	: correl.  : 0.126405103003	: p_value  : 0.128426735304	: var(proxy)/var(resid): 1.0162377001	: SNR  : 0.127427234522
Site: Ice core_d18O 	: Ant_02	: slope    : -0.00474677290113	: intercept: -22.3554863748	: correl.  : -0.00421120288666	: p_value  : 0.958119206705	: var(proxy)/var(resid): 1.00001773454	: SNR  : 0.00421124022838
Site: Ice core_d18O 	: Ant_03	: slope    : 0.436680043759	: intercept: -55.0121212813	: correl.  : 0.116601266251	: p_value  : 0.174809442216	: var(proxy)/var(resid): 1.01378325037	: SNR  : 0.117402088434
Site: Ice core_d18O 	: Ant_04	: slope    : 0.646074778094	: intercept: -25.4602371587	: correl.  : 0.251435612879	: p_value  : 0.00228350240172	: var(proxy)/var(resid): 1.06748634522	: SNR  : 0.259781341173
Site: Ice core_d18O 	: Ant_05	: slope    : 0.512912195855	: intercept: -45.6734686721	: correl.  : 0.178266610877	: p_value  : 0.0307532532434	: var(proxy)/var(resid): 1.03282203551	: SNR  : 0.181168527933
Site: Ice core_d18O 	: Ant_06	: slope    : -0.0798276472748	: intercept: -33.9499418047	: correl.  : -0.0498130460084	: p_value  : 0.536875623696	: var(proxy)/var(resid): 1.00248751191	: SNR  : 0.0498749628003
Site: Ice core_d18O 	: Ant_08	: slope    : 0.103205223871	: intercept: -33.0795669526	: correl.  : 0.0654147062595	: p_value  : 0.424867665227	: var(proxy)/var(resid): 1.00429747304	: SNR  : 0.0655551145394
Site: Ice core_d18O 	: Ant_11	: slope    : 0.0904318253354	: intercept: -29.7294030583	: correl.  : 0.0571371587455	: p_value  : 0.511985039999	: var(proxy)/var(resid): 1.00327534779	: SNR  : 0.0572306542838
Site: Ice core_d18O 	: Arc_05	: slope    : 0.121471246734	: intercept: -28.7859693595	: correl.  : 0.10725606013	: p_value  : 0.247667021308	: var(proxy)/var(resid): 1.01163774141	: SNR  : 0.107878363961
Site: Ice core_d18O 	: Arc_11	: slope    : 0.409540035412	: intercept: -34.7499318037	: correl.  : 0.368840092104	: p_value  : 8.52881724368e-06	: var(proxy)/var(resid): 1.15746503087	: SNR  : 0.396818637252
Site: Ice core_d18O 	: Arc_17	: slope    : 0.171579579943	: intercept: -16.122598428	: correl.  : 0.195406872956	: p_value  : 0.0173097167018	: var(proxy)/var(resid): 1.03969973455	: SNR  : 0.199247922319
Site: Ice core_d18O 	: Arc_27	: slope    : 0.306706881042	: intercept: -36.8200825287	: correl.  : 0.279797191124	: p_value  : 0.000713393965437	: var(proxy)/var(resid): 1.08493579128	: SNR  : 0.291437456893
Site: Ice core_d18O 	: Arc_28	: slope    : 0.0673492380668	: intercept: -35.6517451006	: correl.  : 0.0438776715181	: p_value  : 0.602822262467	: var(proxy)/var(resid): 1.0019289638	: SNR  : 0.0439199703495
Site: Ice core_d18O 	: Arc_29	: slope    : 0.0719781985907	: intercept: -33.9760937908	: correl.  : 0.0406305024459	: p_value  : 0.628729097585	: var(proxy)/var(resid): 1.0016535675	: SNR  : 0.0406640812097
Site: Ice core_d18O 	: Arc_32	: slope    : 0.303374459421	: intercept: -34.9985587509	: correl.  : 0.242527162798	: p_value  : 0.00318347414567	: var(proxy)/var(resid): 1.06249536618	: SNR  : 0.249990732188
Site: Ice core_d18O 	: Arc_33	: slope    : 0.0970562631832	: intercept: -28.1530968497	: correl.  : 0.0956529961453	: p_value  : 0.292603818331	: var(proxy)/var(resid): 1.00923398195	: SNR  : 0.0960936103467
Site: Ice core_d18O 	: Arc_35	: slope    : 0.330344914802	: intercept: -28.6420654404	: correl.  : 0.347100072733	: p_value  : 5.57876793582e-05	: var(proxy)/var(resid): 1.13698181918	: SNR  : 0.370110549946
Site: Ice core_d18O 	: Arc_36	: slope    : 0.202296761002	: intercept: -38.0023678254	: correl.  : 0.118901051365	: p_value  : 0.177860430062	: var(proxy)/var(resid): 1.01434019393	: SNR  : 0.119750548784
Site: Ice core_d18O 	: SAm_02	: slope    : -0.0152662712774	: intercept: -0.266425008688	: correl.  : -0.00833739221636	: p_value  : 0.92044205599	: var(proxy)/var(resid): 1.00006951694	: SNR  : 0.00833768200632
Site: Ice core_d2H 	: Ant_09	: slope    : 0.159943006052	: intercept: -267.873431693	: correl.  : 0.00997988768115	: p_value  : 0.903200875532	: var(proxy)/var(resid): 1.00009960808	: SNR  : 0.0099803847075
Site: Ice core_d2H 	: Ant_10	: slope    : 1.78326199714	: intercept: -149.719011438	: correl.  : 0.158405470466	: p_value  : 0.046824411132	: var(proxy)/var(resid): 1.02573812156	: SNR  : 0.160431049249
Site: Tree ring_Density : Arc_10	: slope    : 65.9096223689	: intercept: 686.770265706	: correl.  : 0.316556021195	: p_value  : 0.000131165769851	: var(proxy)/var(resid): 1.11136760803	: SNR  : 0.333717856926
Site: Tree ring_Density : Arc_12	: slope    : 0.44812835374	: intercept: 7.78805911961	: correl.  : 0.500469349013	: p_value  : 6.00923337513e-11	: var(proxy)/var(resid): 1.33416864619	: SNR  : 0.578073218706
Site: Tree ring_Density : Arc_13	: slope    : 0.311440902706	: intercept: 9.34179071512	: correl.  : 0.496642469289	: p_value  : 8.83670075893e-11	: var(proxy)/var(resid): 1.32741085494	: SNR  : 0.572198265414
Site: Tree ring_Density : Asi_014	: slope    : -0.00416912370241	: intercept: 0.993340032184	: correl.  : -0.0812593316992	: p_value  : 0.33123418401	: var(proxy)/var(resid): 1.00664696945	: SNR  : 0.0815289485552
Site: Tree ring_Density : Asi_015	: slope    : -0.000308920298477	: intercept: 1.01094904558	: correl.  : -0.00260263549481	: p_value  : 0.975214764428	: var(proxy)/var(resid): 1.00000677376	: SNR  : 0.00260264430961
Site: Tree ring_Density : Asi_016	: slope    : -0.00531953091114	: intercept: 0.99393030857	: correl.  : -0.0891426089816	: p_value  : 0.286309300356	: var(proxy)/var(resid): 1.00801005588	: SNR  : 0.0894989155356
